tag,general,teen,mature,explicit,notrated
tooth-rotting fluff,34,35,15,8,8
healer draco malfoy,19,12,42,27,0
quidditch,29,32,21,11,7
blood and injury,5,36,32,18,9
whump,8,42,33,17,0
major character injury,30,40,20,0,10
eventual fluff,25,17,33,8,17
spoilers,20,40,15,5,20
song lyrics,37,37,16,11,0
podfic welcome,27,27,18,27,0
death eaters,20,27,27,19,6
morally ambiguous character,0,38,38,23,0
underage drinking,3,34,28,16,19
underage sex,0,9,22,62,7
drug use,3,10,48,28,10
sexual abuse,0,0,40,60,0
childhood trauma,5,45,35,10,5
vampires,3,24,41,14,17
homophobia,4,22,32,32,10
eating disorders,7,27,37,23,7
implied/referenced suicide,0,31,44,19,6
hogwarts era,25,32,23,17,4
hogwarts fourth year,37,37,9,11,6
birthday,38,25,12,8,17
hogwarts third year,36,32,8,8,16
obsessive behavior,0,43,14,29,14
sort of,24,27,15,9,24
hurt no comfort,7,40,33,7,13
pov original character,30,30,30,10,0
not beta read,27,42,6,15,10
patronus,15,30,20,15,20
weasley family,10,30,30,10,20
drarry,28,29,19,12,13
8th year,15,38,38,8,0
sorry - freeform,50,40,0,0,10
pining,18,32,20,21,9
young severus snape,0,38,31,12,19
poetry,40,24,8,4,24
unrequited love,28,32,21,13,5
self-hatred,26,22,41,7,4
sad,33,28,17,4,17
regret,43,26,22,4,4
occlumency,5,36,23,27,9
sequel,13,33,20,27,7
pov alternating,11,32,18,34,5
best friends,35,29,11,13,13
harry potter and the cursed child compliant,52,43,0,5,0
morally grey harry potter,9,34,29,17,11
smart harry potter,12,62,19,4,4
cross-posted on fanfiction.net,31,45,20,3,2
ravenclaw,41,24,10,3,21
slytherin,31,36,18,4,10
lemon,4,8,24,64,0
severus snape adopts harry potter,45,36,0,0,18
harry potter needs a hug,8,54,15,15,8
fear,38,6,19,19,19
blood,2,30,40,25,4
tags may change,11,46,14,14,14
ooc,25,17,25,25,8
unhealthy relationships,6,22,42,22,8
unhealthy coping mechanisms,0,25,25,42,8
growing up together,33,33,0,17,17
drugs,7,0,53,27,13
semi-public sex,0,7,11,83,0
time travel fix-it,16,48,20,14,2
ron weasley is a good friend,14,31,23,17,14
slytherin ron weasley,18,27,9,18,27
explicit language,0,11,31,50,8
meet-cute,33,42,15,3,6
ewe,8,46,27,15,4
alternate universe - modern setting,16,42,22,14,6
alternate universe - non-magical,14,42,23,17,5
fatherhood,10,60,10,20,0
sarcasm,25,38,12,19,6
creature fic,6,36,34,16,8
character death,13,37,25,14,11
trans female character,10,70,20,0,0
anal,0,6,18,71,6
consensual infidelity,0,10,10,70,10
fake/pretend relationship,13,41,20,22,4
bisexuality,6,29,29,24,12
implied/referenced homophobia,17,34,28,17,3
pov regulus black,53,42,5,0,0
regulus black-centric,57,33,10,0,0
regulus black feels,43,43,14,0,0
good regulus black,10,60,30,0,0
ghosts,27,33,17,13,10
black family-centric,53,32,11,0,5
the noble and most ancient house of black,47,24,16,2,10
past character death,20,40,20,12,8
oblivious harry potter,18,36,18,18,9
marriage proposal,31,43,8,12,6
indian harry potter,29,43,7,7,14
abusive dursley family,4,50,25,0,21
ust,0,50,7,43,0
muggle technology,46,23,0,23,8
awkward flirting,20,35,10,35,0
gay draco malfoy,11,36,25,21,7
pov harry potter,19,35,13,27,5
frottage,0,2,33,61,4
adopted harry potter,10,40,30,0,20
harry potter is the heir to the house of black,10,60,10,10,10
roommates,9,30,35,17,9
dreams,31,23,31,8,8
multiple crossovers,9,36,18,36,0
kidnapping,13,44,18,18,7
alcohol,5,30,30,26,9
pov sirius black,25,22,19,11,22
pov remus lupin,30,33,24,3,9
bigotry and prejudice,27,20,40,13,0
attempted murder,17,17,56,11,0
crossover pairing,13,40,13,18,16
i don't even know,19,39,17,8,17
pov draco malfoy,17,30,22,23,9
canon divergence - post-hogwarts,0,42,8,42,8
professor draco malfoy,27,13,20,33,7
potions master draco malfoy,14,23,18,32,14
lingerie,0,0,50,50,0
pov first person,47,19,11,12,10
present tense,14,52,19,10,5
humour,23,43,17,9,9
abuse,7,21,30,29,14
auror partners,6,38,26,24,6
parody,39,39,14,4,4
pre-slash,40,34,14,5,8
truth or dare,14,32,21,21,11
muggles,25,19,6,31,19
muggle au,21,34,21,10,14
alternate universe - everyone lives/nobody dies,16,32,29,16,6
regulus black lives,24,48,16,0,12
lucius malfoy being an asshole,18,36,27,18,0
aftermath of torture,4,26,26,30,15
implied/referenced torture,6,30,36,15,13
past torture,0,44,25,25,6
cruciatus,29,7,29,21,14
eventual happy ending,0,18,52,25,5
aftermath of violence,7,53,20,13,7
lucius malfoy's a+ parenting,23,46,8,15,8
rape recovery,0,0,31,56,12
additional warnings in author's note,9,27,18,18,27
homophobic language,19,12,44,25,0
i can't believe i wrote this,7,36,7,36,14
what have i done,38,23,15,15,8
draco malfoy needs a hug,9,36,9,9,36
mental breakdown,0,9,36,45,9
self-esteem issues,27,32,14,22,5
self confidence issues,40,10,10,40,0
self-doubt,33,22,22,17,6
near death experiences,18,18,18,36,9
implied/referenced underage sex,0,46,8,46,0
enemies to friends,21,44,13,10,13
suicide attempt,2,42,36,9,11
boys kissing,12,37,22,25,4
boys in love,18,32,21,26,3
making love,0,0,30,70,0
pining draco malfoy,21,30,27,15,6
physical abuse,6,11,34,37,11
wizarding world,14,38,21,10,17
wizarding culture,15,31,23,23,8
slytherin harry,8,50,25,8,8
love potion/spell,26,26,16,26,5
