filename,title,rating,ship,language,category,lovers,wordcount,published,hits,freeform_tags
3_13.txt,Battle Scars,teen,none,English,het,Harry Potter/Pansy Parkinson,1009,2020-04-01,890,Painting|Painting au|Post-Battle of Hogwarts|Canon Divergence - Post-Harry Potter and the Deathly Hallows|after the war|House Painting|Moving In Together|Fluff and Humor|Domestic Fluff|Fluff|new home|Kissing|Memories|Battle Scars|Forgiveness|Hope|Future
3_14.txt,Pass the Gravy,mature,none,English,het,Harry Potter/Ron Weasley,1027,2020-04-01,2472,Female Harry Potter|I&#39;m sorry I couldn&#39;t help it|Daddy Kink|this was horrible but I laughed while writing it|Sirius Black is Harry Potter&#39;s Parent|Ron is a goof|Sirius Black is a Little Shit|Overprotective Sirius Black|Remus Lupin Lives|Sirius Black Lives|Secret Relationship|Sirius Black Raises Harry Potter|Remus Lupin is So Done|uncle remus|Fluff and Humor|Fluff|Inappropriate Humor|Just a drabble|Drabble
3_15.txt,Crazy,notrated,none,English,het,Original Female Character(s)/Tom Riddle,125107,2020-03-18,3806,Alternate Universe|Alternate Universe - Canon Divergence|Humor|Fluff|Eventual Romance|Hogwarts|Alternate Universe - Hogwarts|Time Travel|Slow To Update|On Hiatus|Teenage Tom Riddle|Silly|Fluff and Crack|Good Tom Riddle|Tom Riddle is a Sweetheart|Wordcount: Over 100.000
3_16.txt,We Are The Pack,mature,none,English,multi,Draco Malfoy/Ron Weasley,18641,2018-09-29,3697,Enemies to Friends to Lovers|Slow Build|Romance|Hogwarts Seventh Year|Horcrux Hunting|Werewolves|Sharing a Room|Rare Pairings|Soul Bond|Werewolf Draco Malfoy|Drama|Angst and Hurt/Comfort|Shell Cottage (Harry Potter)
3_17.txt,Foolish Girl,explicit,none,English,het,Hermione Granger/Severus Snape,48111,2019-05-12,6394,Drug Addiction|Teacher-Student Relationship|Alternate Universe - Canon Divergence|Dark
3_18.txt,Quarantine,notrated,none,English,none,Remus Lupin/Sirius Black,2926,2020-03-30,719,wolfstar|Quarantine|quarantine fic|Corona - Freeform
3_19.txt,Wheels on the Bus,teen,none,English,multi,Draco Malfoy/Harry Potter,374,missing data,missing data,none
3_20.txt,Harry Potter Smut Oneshots,explicit,none,English,multi,Dudley Dursley/Harry Potter,32412,2020-03-01,79491,First Time|Anal Sex|Rimming|Oral Sex|Voyeurism|Incest|Twincest|Hand Jobs|Smut|Vaginal Sex|Loss of Virginity|Shower Sex|Masturbation|Mutual Masturbation|Anal Fingering|Gay Sex|Vaginal Fingering|Foot Fetish|Foot Jobs|Foot Massage|Threesome - M/M/M|Foursome - M/M/M/M|Dominance|Submission|LGBTQ|Sex Toys|Sex|Trans Character|Lesbian Sex|Lesbian Character|Gay Character|Bondage|Porn With Plot|Porn Without Plot|Massage|Prostate Massage|Threesome - F/F/F|Impregnation|Twerking
4_1.txt,"luck is not chance, it's toil",explicit,none,English,multi,Blaise Zabini/Harry Potter,69088,2018-02-27,11708,Alternate Universe - Canon Divergence|Life Debt|Eventual Romance|Humor|Developing Friendships|Personal Growth|Banter|No Bashing|Book 6: Harry Potter and the Half-Blood Prince|Friends to Lovers|Mutual Pining|Developing Sexuality|Gay Harry Potter|Sexual Tension|Smut|Mutual Masturbation|Hand Jobs|Sharing a Bed|Other Additional Tags to Be Added|Independent Harry Potter|Action/Adventure|Mystery|Oral Sex|Powerful Harry Potter|Self-Discovery|Character Development|Ritual Magic|Oaths &amp; Vows|Dolores Umbridge is Her Own Warning|BAMF Harry Potter|BAMF Vittoria Zabini|Misguided Albus Dumbledore
4_2.txt,The One and the Other,notrated,none,English,gen,none,1253,2020-04-01,106,Angst|Metaphysics|Character Study
4_3.txt,The Principal,teen,none,English,none,none,421,missing data,missing data,none
4_4.txt,Forgetting the Best,notrated,none,English,slash,Draco Malfoy/Harry Potter,3928,2019-09-09,3886,Infidelity|Past Rape/Non-con|Alternate Universe - Harry Potter Setting|Drinking|Smut|Gay Sex
4_5.txt,Hate is a four letter word,teen,none,English,slash,Draco Malfoy/Harry Potter,3406,missing data,missing data,none
4_6.txt,The Necromancer's Bride,mature,none,English,het,Draco Malfoy/Hermione Granger,28961,2020-03-08,9182,Post-Second War with Voldemort|magical beasts|Rape/Non-con Elements|Master/Slave|Pregnancy|BDSM|Angst with a Happy Ending|Drama &amp; Romance|Slow Build|Dark Magic|Dark Past|Alternate Universe - Voldemort Wins|Second War with Voldemort
4_7.txt,Great,notrated,none,English,slash,Harry Potter/Tom Riddle | Voldemort,1129,missing data,missing data,none
4_8.txt,The Malfoy Dynasty,explicit,none,English,multi,Abraxas Malfoy/Original Female Character(s),39044,2020-03-31,999,Het|Blink And You Miss It Slash|Rape/Non-con Elements|Power Imbalance|Pre-Maurauders|Prostitution|Blood and Violence|Violence|Threats of Violence|Threats of Rape/Non-Con|Death|Alcohol Abuse/Alcoholism|Child Abuse|Implied/Referenced Rape/Non-con|Implied/Referenced Child Abuse|Mythology References|Sirens|Succubi &amp; Incubi|Malfoy Manor|Secret Society|POV Multiple|No Incest|No Underage Sex|No Smut
4_9.txt,Harry Potter and the... oh fuck not again.,mature,none,English,het,Ginny Weasley/Harry Potter,3532,2020-01-05,1573,Crack|Time Travel|Groundhog Day|Rated M for Swearing
4_10.txt,Sleeping with the Enemy,mature,none,English,multi,Fred Weasley/Reader,7935,2020-03-22,641,Slytherin Reader
4_11.txt,Robin's Egg Blue,notrated,none,English,het,Fred Weasley/Original Female Character(s),19751,2020-03-29,438,im a sucker for fluff tbh|Panic Attacks|Fast-ish burn|ravenclaw is #1 change my mind|Fred doesn&#39;t die|fuck the canon we die like men
4_12.txt,Air,teen,none,English,het,Hermione Granger/Viktor Krum,203636,2019-05-09,22393,Triwizard Tournament|and beyond
4_13.txt,Tony's Little Black Book: Fusion Zone,mature,none,English,slash,Anthony DiNozzo/Cameron Mitchell (Stargate),17606,2018-08-13,49689,One Shot Collection|Tale from Tony&#39;s Black Book|Alternate Universe - Fusion
4_14.txt,Varia's Cloud,mature,none,English,multi,Reborn/Sawada Tsunayoshi,70959,2019-11-22,15113,Alternate Universe - Harry Potter Setting|Alternate Universe - Dying Will Flames (Katekyou Hitman Reborn!) Are Known|Cloud Flame User Harry Potter|Rain Flame User Remus Lupin|Cloud Flame User Sirius Black|Alternate Universe - Werewolves Are Known|There&#39;s a lot going on!|Adorable Sawada Tsunayoshi|Non-Traditional Alpha/Beta/Omega Dynamics|BAMF Sawada Tsunayoshi|BAMF Harry Potter|Sawada Iemitsu Being an Idiot|Confused Sawada Nana|Scared Sawada Nana|Harry Adopts Everyone|Tsuna is Harry&#39;s Baby|Not for real|Manipulative Dumbledore|He&#39;s not evil|Just does stupid things for the greater good|Eventual Smut|Romance|Multiple Pairings|They&#39;ll show up but it&#39;ll take time|Attempted Rape/Non-Con|Threats of Rape/Non-Con|Implied/Referenced Rape/Non-con|Canon-Typical Violence|Post-Traumatic Stress Disorder - PTSD|Battle of Hogwarts|Post-Battle of Hogwarts
4_15.txt,Harry Potter One Shots,notrated,none,English,none,none,8785,2020-03-27,3241,Reader-Insert|One Shot Collection
4_16.txt,Drabble Chain of Madness: Gen - Single Fandoms,mature,none,English,multi,Harry Potter/OMC,5281,2016-10-03,514,Complete One-Shots but still a &#39;WIP&#39;|Angst|Humor|Romance|Adventure|Slash|Yaoi|WTF|LMAO
